Method,Survey,Replica,Accalathura crenulata,Alloleptochelia longimana,Alpheus amblyonyx,Alpheus armatus,Alpheus barbadensis,Alpheus bouvieri,Alpheus cylindricus,Alpheus floridanus,Alpheus formosus,Alpheus malleator,Alpheus normanni,Alpheus paracrinitus,Alpheus sp ,Amakusanthura magnifica,Amakusanthura signata,Ambidexter symmetricus,Ampelisca abdita,Ampelisca bicarinata,Ampelisca sp,Ampithoe ramondi,Ampithoe sp,Anamixis cavatura,Anthuridea,Apanthura cracenta,Apseudes orghidani,Apseudes sp A ,Apseudomorpha sp A,Automate dolichognatha,Axiidae,Batea cuspidata,Bemlos sp,Bodotriidae A,Calcinus tibicen,Calyptolana hancocki,Campylaspis heardi,Carpias algicola,Carpias triton,Ceradocus sheardi ,Chevalia aviculae,Chondrochelia dubia ,Cirolana parva ,Clibabarius tricolor,Colanthura sp,Colomastix janiceae,Concarnes concavus,Cortezura  confixa,Cuapetes americanus,Cubanocuma gutzi,Cumella clavicauda,Cumella garrityi,Cumella goesi,Cumella gomoiui,Cumella muriarui,Cumella ruetzleri,Cumella sp G,Cumella vicina,Cymodoce ruetzleri,Cymodoce sp,Dicerceis kensleyi,Diogenidae,Dumosus sp,Dynameninae A,Dyscapseudes sp,Elasmopus levis,Elasmopus rapax ,Eobrolgus sp,Eurydice convexa,Excorallana antillensis,Gammaropsis atlantica,Geocerceis barbarae,Gibberosus myersi,Globosolembos smithi ,Gnathia beethoveni,Gnathia magdalensis,Gnathia puertoricensis,Gnathia sp,Gnathia vellosa,Gnathia virginalis,Gnathostenetroides pugio,Hansenium stebbingi,Hargeria rapax,Hemiproto wigleyi,Hemus cristulipes,Hemus sp,Hippolyte curacaoensis,Hippomedon sp,Hourstonius tortugae,Idunella sp,Joeropsis  bifasciatum,Joeropsis personatus,Lembos unifasciatus,Leucon sp,Leucothoe laurensi,Leucothoe spinicarpa,Liljeborgia sp,Limnoria platycauda,Lyocoryphe minocule,Lysianopsis alba,Lysmata intermedia,Lysmata sp,Machatrium spathulicarpus,Maerella sp,Mancomunatinae ,Melita sp,Mesanthura bivittata,Mesanthura fasciata,Mesanthura hopkinsi,Mesanthura paucidens,Mesanthura pulchra,Mesanthura sp,Mesokalliapseudes bahamensis,Metacirolana agaricicola,Metacirolana halia,Metalpheus rostratipes,Metapenaeopsis martinella,Metarphinia floridana,Microprosthema  semilaeve,Mithraculus coryphe,Mithraculus forceps,Mithraculus sculptus,Mithrax sp,Neocirolana obtruncata,Netamelita barnardi  ,Nototanais sp,Nuuanu muelleri ,Omalacantha antillensis,Paguridae A ,Paguristes hernancortezi,Paguristes sp,Pagurotanais bouryi,Pagurus annulipes,Palaemonidae,Paracerceis caudata,Paradoxapseudes bermudeus,Paranthura floridensis,Parapseudes sp A ,Paratanais sp A,Pariphinotus seclusus ,Penaeidae,Pendanthura hendleri,Pendanthura sp,Periclimenaeus ascidarum,Periclimenes sp,Perioculodes cerasinus,Petrochirus diogenes,Petrolisthes galathinus,Pilumnus longleyi,Pitho aculeatha ,Pitho lherminieri,Pitho mirabilis,Pitho sp,Processa profunda,Processa riveroi,Processa sp,Psammokalliapseudes granulosus,Pseudoampithoides incurvaria  ,Pseudoapseudomorpha sp A,Pseudoleptochelia sp A ,Quadrimaera quadrimana,Rostronia sp,Salmoneus sp,Schizotrema agglutinanta,Sinelobus stanfordi,Stenetrium bowmani,Stenetrium serratum,Stenobermuda sp ,Synalpheus anasimus,Synopia sp,Synopia ultramarina,Thor floridanus,Thor sp,Upogebiidae sp,Uromunna reynoldsi,Vaunthompsonia floridana,Vaunthompsonia minor,Williamstimpsonia denticulatus,Xanthidae,Zeuxo kurilensis
ASUs,A,a,1,0,2,0,1,0,2,0,1,0,1,0,10,5,0,0,1,0,0,0,0,0,0,3,0,9,0,1,0,0,0,0,0,0,0,0,0,3,0,21,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,5,0,0,0,9,0,0,0,0,0,0,1,0,9,2,17,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,6,7,17,9,0,1,0,1,0,0,0,2,0,1,0,2,0,0,2,4,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,4,0,12,1,0,1,0,8,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1
ASUs,A,b,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0,0,3,2,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASUs,B,a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,23,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASUs,B,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,12,6,21,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,6,0,0,0,3,11,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
ASUs,C,a,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ASUs,C,b,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASUs,D,a,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,2,0,0,0,2,0,0,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASUs,D,b,0,0,1,2,0,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,21,1,0,0,0,0,0,1,0,0,1,0,3,1,53,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,0,0,0,10,1,0,0,0,3,3,6,1,0,0,3,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0,0,4,0,0,0,0,1,0,1,0,0,0,5,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CG,A,a,1,0,2,0,0,0,1,0,1,1,1,0,0,3,0,0,0,0,0,0,1,0,1,7,4,181,25,0,0,0,0,0,0,0,0,0,0,0,27,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5,0,0,0,6,5,0,2,0,1,0,0,0,1,7,36,0,23,7,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,1,0,0,6,199,0,0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,51,0,0,0,0,26,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1
CG,A,b,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,1,0,2,3,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,2,3,0,0,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,12,0,1,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
