Substrate,Species,DR,FR,IVI
ASUs,Apseudes sp A ,4.723502304,2.010050251,3.366776278
ASUs,Chevalia aviculae,1.382488479,1.507537688,1.445013084
ASUs,Chondrochelia dubia ,16.93548387,2.010050251,9.472767061
ASUs,Cirolana parva ,10.36866359,2.010050251,6.189356923
ASUs,Elasmopus rapax ,5.529953917,1.507537688,3.518745803
ASUs,Gnathia sp,3.917050691,1.507537688,2.71229419
ASUs,Mithraculus coryphe,2.304147465,2.010050251,2.157098858
ASUs,Mithraculus sculptus,4.608294931,1.005025126,2.806660028
ASUs,Mithrax sp,2.188940092,2.010050251,2.099495172
ASUs,Paratanais sp A,0.69124424,1.005025126,0.848134683
ASUs,Pseudoleptochelia sp A ,2.649769585,1.507537688,2.078653637
ASUs,Sinelobus stanfordi,1.728110599,1.005025126,1.366567862
CR,Apseudes sp A ,15.38461538,1.754385965,8.569500675
CR,Chevalia aviculae,3.205128205,1.754385965,2.479757085
CR,Chondrochelia dubia ,8.653846154,1.754385965,5.204116059
CR,Cirolana parva ,3.685897436,1.315789474,2.500843455
CR,Elasmopus rapax ,1.228632479,1.315789474,1.272210976
CR,Gnathia sp,5.982905983,1.754385965,3.868645974
CR,Mithraculus coryphe,0.747863248,1.315789474,1.031826361
CR,Mithraculus sculptus,0,0,0
CR,Mithrax sp,0.16025641,0.877192982,0.518724696
CR,Paratanais sp A,14.52991453,1.315789474,7.922852002
CR,Pseudoleptochelia sp A ,10.68376068,1.754385965,6.219073324
CR,Sinelobus stanfordi,3.205128205,1.754385965,2.479757085
